,date,county,state,fips,cases,deaths
0,,Orange,,,325607,
1,,Orange,,,89175,
2,,Orange,,,324288,
3,,Orange,,,1,
4,,Orange,,,272922,
5,,Orange,,,21741,
6,,Orange,,,271589,
7,,Orange,,,191804,
8,,Orange,,,64621,
9,,Orange,,,8222,
10,,Orange,,,217925,
11,,Orange,,,245978,
12,,Orange,,,31743,
13,,Orange,,,58183,
14,,Orange,,,1,
15,,Orange,,,262550,
16,,Orange,,,3,
17,,Orange,,,54912,
18,,Orange,,,270940,
19,,Orange,,,1753,
20,,Orange,,,5157,
21,,Orange,,,298667,
22,,Orange,,,57595,
23,,Orange,,,269036,
24,,Orange,,,8581,
25,,Orange,,,79049,
26,,Orange,,,271496,
27,,Orange,,,281790,
28,,Orange,,,229132,
29,,Orange,,,464,
30,,Orange,,,20167,
31,,Orange,,,272361,
32,,Orange,,,46307,
33,,Orange,,,931,
34,,Orange,,,54527,
35,,Orange,,,59448,
36,,Orange,,,334940,
37,,Orange,,,882,
38,,Orange,,,273225,
39,,Orange,,,270744,
40,,Orange,,,2591,
41,,Orange,,,272650,
42,,Orange,,,40527,
43,,Orange,,,330093,
44,,Orange,,,1,
45,,Orange,,,1636,
46,,Orange,,,1,
47,,Orange,,,59168,
48,,Orange,,,264033,
49,,Orange,,,334398,
50,,Orange,,,181850,
51,,Orange,,,300665,
52,,Orange,,,274132,
53,,Orange,,,273225,
54,,Orange,,,325123,
55,,Los Angeles,,,1015063,
56,,Los Angeles,,,1235783,
57,,Los Angeles,,,1397943,
58,,Los Angeles,,,852510,
59,,Los Angeles,,,248334,
60,,Los Angeles,,,1129957,
61,,Los Angeles,,,105507,
62,,Los Angeles,,,1804,
63,,Los Angeles,,,1249083,
64,,Los Angeles,,,1526976,
65,,Los Angeles,,,1207361,
66,,Los Angeles,,,33180,
67,,Los Angeles,,,1508440,
68,,Los Angeles,,,374231,
69,,Los Angeles,,,1301009,
70,,Los Angeles,,,1170100,
71,,Los Angeles,,,596910,
72,,Los Angeles,,,10496,
73,,Los Angeles,,,1488206,
74,,Los Angeles,,,1513720,
75,,Los Angeles,,,244999,
76,,Los Angeles,,,1055214,
77,,Los Angeles,,,1236087,
78,,Los Angeles,,,1339835,
79,,Los Angeles,,,1490084,
80,,Los Angeles,,,271371,
81,,Los Angeles,,,1,
82,,Los Angeles,,,113497,
83,,Los Angeles,,,458011,
84,,Los Angeles,,,1507009,
85,,Los Angeles,,,236986,
86,,Los Angeles,,,1229973,
87,,Los Angeles,,,1,
88,,Los Angeles,,,1220900,
89,,Los Angeles,,,920560,
90,,Los Angeles,,,7530,
91,,Los Angeles,,,27815,
92,,Los Angeles,,,81636,
93,,Los Angeles,,,1290911,
94,,Los Angeles,,,1234865,
95,,Los Angeles,,,1505547,
96,,Los Angeles,,,130242,
97,,Los Angeles,,,383373,
98,,Los Angeles,,,1,
99,,Los Angeles,,,1428526,
100,,Los Angeles,,,12341,
101,,Los Angeles,,,1247286,
102,,Los Angeles,,,1168904,
103,,Los Angeles,,,1401541,
104,,Los Angeles,,,1424329,
105,,Los Angeles,,,1463743,
106,,Los Angeles,,,1213934,
107,,Los Angeles,,,1250503,
108,,Los Angeles,,,1237120,
109,,Los Angeles,,,1236461,
110,,Santa Clara,,,113929,
111,,Santa Clara,,,1094,
112,,Santa Clara,,,6725,
113,,Santa Clara,,,119946,
114,,Santa Clara,,,140732,
115,,Santa Clara,,,2,
116,,Santa Clara,,,56334,
117,,Santa Clara,,,36673,
118,,Santa Clara,,,118369,
119,,Santa Clara,,,96340,
120,,Santa Clara,,,12694,
121,,Santa Clara,,,146162,
122,,Santa Clara,,,38388,
123,,Santa Clara,,,148888,
124,,Santa Clara,,,140811,
125,,Santa Clara,,,2850,
126,,Santa Clara,,,542,
127,,Santa Clara,,,17993,
128,,Santa Clara,,,9215,
129,,Santa Clara,,,119743,
130,,Santa Clara,,,50315,
131,,Santa Clara,,,1666,
132,,Santa Clara,,,2339,
133,,Santa Clara,,,93557,
134,,Santa Clara,,,118901,
135,,Santa Clara,,,1148,
136,,Santa Clara,,,591,
137,,Santa Clara,,,119793,
138,,Santa Clara,,,94366,
139,,Santa Clara,,,77366,
140,,Santa Clara,,,123514,
141,,Santa Clara,,,118181,
142,,Santa Clara,,,2,
143,,Santa Clara,,,1,
144,,Santa Clara,,,1224,
145,,Santa Clara,,,2,
146,,Santa Clara,,,3063,
147,,Santa Clara,,,131492,
148,,Santa Clara,,,2571,
149,,Santa Clara,,,118269,
150,,Santa Clara,,,151169,
151,,Santa Clara,,,119060,
152,,Santa Clara,,,109276,
153,,Santa Clara,,,4,
154,,Santa Clara,,,108462,
155,,Santa Clara,,,25421,
156,,Santa Clara,,,20756,
157,,Santa Clara,,,2040,
158,,Santa Clara,,,116084,
159,,Santa Clara,,,2,
160,,Santa Clara,,,23881,
161,,Santa Clara,,,135922,
162,,Santa Clara,,,120274,
163,,Santa Clara,,,15085,
164,,San Francisco,,,14665,
165,,San Francisco,,,56617,
166,,San Francisco,,,36456,
