,date,county,state,fips,cases,deaths
0,2020-07-28,Orange,California,6059.0,34833,581.0
1,2020-11-16,Orange,California,6059.0,67819,1526.0
2,2021-07-28,Orange,California,6059.0,281228,5143.0
3,2021-06-21,Orange,California,6059.0,273057,5113.0
4,2021-11-15,Orange,California,6059.0,330798,5648.0
5,2021-04-01,Orange,California,6059.0,266353,4755.0
6,2020-07-19,Orange,California,6059.0,29603,494.0
7,2021-04-11,Orange,California,6059.0,268175,4839.0
8,2020-04-14,Orange,California,6059.0,1299,19.0
9,2020-01-26,Orange,California,6059.0,1,0.0
10,2021-06-01,Orange,California,6059.0,272156,5065.0
11,2021-03-29,Orange,California,6059.0,265926,4726.0
12,2020-11-02,Orange,California,6059.0,62264,1484.0
13,2020-02-25,Orange,California,6059.0,1,0.0
14,2021-03-06,Orange,California,6059.0,262550,4173.0
15,2020-10-31,Orange,California,6059.0,61836,1483.0
16,2021-07-11,Orange,California,6059.0,274132,5135.0
17,2021-08-08,Orange,California,6059.0,287661,5153.0
18,2021-02-01,Orange,California,6059.0,247035,3109.0
19,2021-01-05,Orange,California,6059.0,181850,1926.0
20,2021-10-04,Orange,California,6059.0,320128,5447.0
21,2020-09-01,Orange,California,6059.0,48825,988.0
22,2021-09-13,Orange,California,6059.0,311909,5312.0
23,2021-02-19,Orange,California,6059.0,258567,3726.0
24,2021-11-03,Orange,California,6059.0,327535,5609.0
25,2020-10-09,Orange,California,6059.0,57001,1316.0
26,2021-01-28,Orange,California,6059.0,241648,2868.0
27,2020-03-01,Orange,California,6059.0,1,0.0
28,2020-02-16,Orange,California,6059.0,1,0.0
29,2020-06-07,Orange,California,6059.0,7576,177.0
30,2020-07-29,Orange,California,6059.0,35272,587.0
31,2020-08-18,Orange,California,6059.0,44212,815.0
32,2020-01-30,Orange,California,6059.0,1,0.0
33,2021-06-20,Orange,California,6059.0,272922,5112.0
34,2020-10-04,Orange,California,6059.0,56226,1286.0
35,2020-12-29,Orange,California,6059.0,160476,1847.0
36,2020-03-05,Orange,California,6059.0,3,0.0
37,2020-04-28,Orange,California,6059.0,2198,42.0
38,2020-08-07,Orange,California,6059.0,38754,704.0
39,2021-10-21,Orange,California,6059.0,324184,5550.0
40,2021-05-29,Orange,California,6059.0,272059,5063.0
41,2020-08-29,Orange,California,6059.0,48190,975.0
42,2021-11-20,Orange,California,6059.0,331850,5661.0
43,2021-03-23,Orange,California,6059.0,264989,4635.0
44,2020-03-25,Orange,California,6059.0,187,1.0
45,2020-08-23,Orange,California,6059.0,45954,897.0
46,2021-01-11,Orange,California,6059.0,202787,2120.0
47,2020-11-20,Orange,California,6059.0,70593,1540.0
48,2021-03-20,Orange,California,6059.0,264600,4562.0
49,2020-04-26,Orange,California,6059.0,2074,39.0
50,2020-04-04,Orange,California,6059.0,786,14.0
51,2020-02-10,Orange,California,6059.0,1,0.0
52,2020-04-07,Orange,California,6059.0,931,15.0
53,2020-08-11,Orange,California,6059.0,41578,734.0
54,2020-07-09,Orange,California,6059.0,22088,376.0
55,2021-02-21,Orange,California,6059.0,259305,3810.0
56,2021-09-05,Orange,California,6059.0,307051,5274.0
57,2021-10-08,Orange,California,6059.0,321147,5475.0
58,2020-06-23,Orange,California,6059.0,10737,275.0
59,2020-12-27,Orange,California,6059.0,153527,1846.0
60,2021-01-30,Orange,California,6059.0,244562,3018.0
61,2021-03-31,Orange,California,6059.0,266233,4744.0
62,2020-08-10,Orange,California,6059.0,40527,726.0
63,2020-12-03,Orange,California,6059.0,83947,1586.0
64,2021-02-22,Orange,California,6059.0,259581,3848.0
65,2020-09-24,Orange,California,6059.0,54023,1182.0
66,2020-02-12,Orange,California,6059.0,1,0.0
67,2021-03-22,Orange,California,6059.0,264849,4608.0
68,2020-10-21,Orange,California,6059.0,59448,1423.0
69,2021-05-11,Orange,California,6059.0,270883,5017.0
70,2020-06-11,Orange,California,6059.0,8222,202.0
71,2021-10-14,Orange,California,6059.0,322497,5513.0
72,2021-11-25,Orange,California,6059.0,332950,5675.0
73,2020-12-24,Orange,California,6059.0,140699,1782.0
74,2020-07-13,Orange,California,6059.0,25399,423.0
75,2021-08-23,Orange,California,6059.0,300665,5181.0
76,2020-05-03,Orange,California,6059.0,2774,52.0
77,2020-09-14,Orange,California,6059.0,52166,1093.0
78,2020-08-06,Orange,California,6059.0,38711,697.0
79,2021-06-07,Orange,California,6059.0,272447,5083.0
80,2020-12-17,Orange,California,6059.0,116116,1731.0
81,2020-06-15,Orange,California,6059.0,8759,221.0
82,2021-09-11,Orange,California,6059.0,310195,5302.0
83,2021-05-13,Orange,California,6059.0,270983,5026.0
84,2021-09-22,Orange,California,6059.0,315397,5363.0
85,2021-09-20,Orange,California,6059.0,314622,5354.0
86,2020-11-28,Orange,California,6059.0,79049,1577.0
87,2021-01-16,Orange,California,6059.0,221532,2320.0
88,2020-07-16,Orange,California,6059.0,27904,466.0
89,2020-12-04,Orange,California,6059.0,85181,1603.0
90,2020-09-12,Orange,California,6059.0,51936,1093.0
91,2020-06-19,Orange,California,6059.0,9597,257.0
92,2020-04-11,Orange,California,6059.0,1221,18.0
93,2020-07-23,Orange,California,6059.0,32648,543.0
94,2020-10-24,Orange,California,6059.0,60184,1444.0
95,2021-05-12,Orange,California,6059.0,270940,5023.0
96,2021-02-26,Orange,California,6059.0,260721,3892.0
97,2021-06-13,Orange,California,6059.0,272650,5103.0
98,2020-01-31,Orange,California,6059.0,1,0.0
99,2020-07-11,Orange,California,6059.0,23692,412.0
100,2021-05-02,Orange,California,6059.0,270284,4969.0
101,2020-03-06,Orange,California,6059.0,3,0.0
102,2020-06-27,Orange,California,6059.0,12659,323.0
103,2020-10-23,Orange,California,6059.0,59868,1440.0
104,2021-01-07,Orange,California,6059.0,188013,1972.0
105,2021-07-05,Orange,California,6059.0,273738,5126.0
106,2020-10-03,Orange,California,6059.0,55903,1286.0
107,2021-10-27,Orange,California,6059.0,325607,5588.0
108,2021-03-02,Orange,California,6059.0,261608,3952.0
109,2021-08-30,Orange,California,6059.0,305019,5223.0
110,2020-12-21,Orange,California,6059.0,130530,1777.0
111,2021-01-25,Orange,California,6059.0,237708,2704.0
112,2020-09-22,Orange,California,6059.0,53733,1150.0
113,2020-12-18,Orange,California,6059.0,118721,1734.0
114,2020-03-23,Orange,California,6059.0,125,0.0
115,2021-03-21,Orange,California,6059.0,264721,4607.0
116,2021-09-09,Orange,California,6059.0,309576,5295.0
117,2020-08-27,Orange,California,6059.0,47459,947.0
118,2020-06-08,Orange,California,6059.0,7643,177.0
119,2021-03-27,Orange,California,6059.0,265653,4711.0
120,2020-09-09,Orange,California,6059.0,51292,1065.0
121,2020-10-20,Orange,California,6059.0,59168,1412.0
122,2020-09-11,Orange,California,6059.0,51758,1081.0
123,2020-05-29,Orange,California,6059.0,6045,145.0
124,2021-07-21,Orange,California,6059.0,277845,5139.0
125,2021-10-19,Orange,California,6059.0,323569,5531.0
126,2021-08-14,Orange,California,6059.0,292833,5159.0
127,2020-12-20,Orange,California,6059.0,126776,1775.0
128,2020-08-14,Orange,California,6059.0,42854,789.0
129,2021-07-13,Orange,California,6059.0,275358,5136.0
130,2020-05-16,Orange,California,6059.0,4281,86.0
131,2020-02-02,Orange,California,6059.0,1,0.0
132,2021-07-04,Orange,California,6059.0,273738,5126.0
133,2021-04-20,Orange,California,6059.0,269176,4900.0
134,2021-08-31,Orange,California,6059.0,305410,5225.0
135,2021-05-01,Orange,California,6059.0,270194,4965.0
136,2021-08-27,Orange,California,6059.0,303381,5202.0
137,2020-09-18,Los Angeles,California,6037.0,258516,6330.0
138,2020-07-23,Los Angeles,California,6037.0,166848,4262.0
139,2020-10-13,Los Angeles,California,6037.0,283750,6790.0
140,2021-09-06,Los Angeles,California,6037.0,1421269,25465.0
141,2020-07-27,Los Angeles,California,6037.0,176028,4375.0
142,2021-06-07,Los Angeles,California,6037.0,1245921,24410.0
143,2021-11-01,Los Angeles,California,6037.0,1494823,26644.0
144,2020-10-24,Los Angeles,California,6037.0,298937,6989.0
145,2020-10-20,Los Angeles,California,6037.0,290009,6912.0
146,2020-10-02,Los Angeles,California,6037.0,272653,6626.0
147,2021-07-18,Los Angeles,California,6037.0,1268541,24583.0
148,2021-11-27,Los Angeles,California,6037.0,1525616,27121.0
149,2021-07-11,Los Angeles,California,6037.0,1258298,24542.0
150,2020-02-06,Los Angeles,California,6037.0,1,0.0
151,2020-08-23,Los Angeles,California,6037.0,231695,5545.0
152,2021-05-24,Los Angeles,California,6037.0,1239584,24197.0
153,2021-05-26,Los Angeles,California,6037.0,1239945,24212.0
154,2021-11-06,Los Angeles,California,6037.0,1502231,26740.0
155,2020-05-12,Los Angeles,California,6037.0,33180,1613.0
156,2021-02-25,Los Angeles,California,6037.0,1188101,21102.0
157,2021-09-11,Los Angeles,California,6037.0,1428526,25630.0
158,2020-04-04,Los Angeles,California,6037.0,5277,117.0
159,2020-09-10,Los Angeles,California,6037.0,251024,6128.0
160,2020-03-07,Los Angeles,California,6037.0,14,0.0
161,2021-08-19,Los Angeles,California,6037.0,1363550,25002.0
162,2021-01-09,Los Angeles,California,6037.0,906554,12084.0
163,2020-04-26,Los Angeles,California,6037.0,19528,913.0
164,2021-11-15,Los Angeles,California,6037.0,1512851,26872.0
165,2020-02-28,Los Angeles,California,6037.0,1,0.0
166,2020-09-20,Los Angeles,California,6037.0,260797,6353.0
167,2021-09-09,Los Angeles,California,6037.0,1426515,25563.0
168,2021-03-20,Los Angeles,California,6037.0,1214431,22777.0
169,2021-10-12,Los Angeles,California,6037.0,1473123,26346.0
170,2020-07-26,Los Angeles,California,6037.0,173995,4360.0
171,2020-12-22,Los Angeles,California,6037.0,647766,9016.0
172,2020-11-26,Los Angeles,California,6037.0,383373,7580.0
173,2021-08-10,Los Angeles,California,6037.0,1332556,24805.0
174,2020-05-02,Los Angeles,California,6037.0,24894,1209.0
175,2020-07-10,Los Angeles,California,6037.0,127358,3738.0
176,2021-11-19,Los Angeles,California,6037.0,1517605,26973.0
177,2020-12-19,Los Angeles,California,6037.0,610562,8817.0
178,2020-02-21,Los Angeles,California,6037.0,1,0.0
179,2020-07-08,Los Angeles,California,6037.0,123004,3642.0
180,2020-10-21,Los Angeles,California,6037.0,290486,6944.0
181,2021-05-22,Los Angeles,California,6037.0,1239272,24180.0
182,2021-09-12,Los Angeles,California,6037.0,1428526,25630.0
183,2020-11-12,Los Angeles,California,6037.0,330528,7221.0
184,2020-01-29,Los Angeles,California,6037.0,1,0.0
185,2020-11-02,Los Angeles,California,6037.0,310595,7076.0
186,2021-12-08,Los Angeles,California,6037.0,1540904,27275.0
187,2021-10-11,Los Angeles,California,6037.0,1472349,26338.0
188,2020-10-03,Los Angeles,California,6037.0,273638,6642.0
189,2020-08-20,Los Angeles,California,6037.0,227346,5446.0
190,2021-04-18,Los Angeles,California,6037.0,1229659,23653.0
191,2020-02-19,Los Angeles,California,6037.0,1,0.0
192,2020-07-01,Los Angeles,California,6037.0,105507,3402.0
193,2021-11-22,Los Angeles,California,6037.0,1521208,27017.0
194,2020-02-07,Los Angeles,California,6037.0,1,0.0
195,2020-06-21,Los Angeles,California,6037.0,83397,3120.0
