,date,county,state,fips,cases,deaths
0,2020-10-24,Orange,California,6059.0,60184,1444.0
1,2021-03-02,Orange,California,6059.0,261608,3952.0
2,2020-10-16,Orange,California,6059.0,58354,1401.0
3,2021-05-04,Orange,California,6059.0,270444,4978.0
4,2021-05-12,Orange,California,6059.0,270940,5023.0
5,2021-07-16,Orange,California,6059.0,275358,5136.0
6,2020-03-22,Orange,California,6059.0,95,0.0
7,2021-03-25,Orange,California,6059.0,265356,4665.0
8,2020-04-03,Orange,California,6059.0,711,13.0
9,2021-05-31,Orange,California,6059.0,272094,5065.0
10,2021-10-28,Orange,California,6059.0,325921,5592.0
11,2020-10-23,Orange,California,6059.0,59868,1440.0
12,2021-06-11,Orange,California,6059.0,272650,5097.0
13,2021-10-20,Orange,California,6059.0,323788,5538.0
14,2021-11-13,Orange,California,6059.0,330093,5643.0
15,2020-10-19,Orange,California,6059.0,58851,1410.0
16,2020-03-31,Orange,California,6059.0,502,7.0
17,2020-07-04,Orange,California,6059.0,18819,360.0
18,2021-09-01,Orange,California,6059.0,306099,5229.0
19,2020-04-06,Orange,California,6059.0,882,14.0
20,2021-06-24,Orange,California,6059.0,273170,5116.0
21,2021-01-31,Orange,California,6059.0,245978,3062.0
22,2020-12-05,Orange,California,6059.0,87150,1618.0
23,2021-02-12,Orange,California,6059.0,255254,3493.0
24,2020-06-12,Orange,California,6059.0,8304,210.0
25,2020-10-27,Orange,California,6059.0,60836,1454.0
26,2020-07-07,Orange,California,6059.0,20167,366.0
27,2021-10-16,Orange,California,6059.0,322741,5518.0
28,2020-06-27,Orange,California,6059.0,12659,323.0
29,2020-06-14,Orange,California,6059.0,8581,221.0
30,2021-05-28,Orange,California,6059.0,271936,5059.0
31,2020-04-17,Orange,California,6059.0,1501,28.0
32,2021-04-21,Orange,California,6059.0,269258,4902.0
33,2021-09-28,Orange,California,6059.0,318305,5418.0
34,2021-06-01,Orange,California,6059.0,272156,5065.0
35,2020-03-20,Orange,California,6059.0,65,0.0
36,2020-02-12,Orange,California,6059.0,1,0.0
37,2020-08-19,Orange,California,6059.0,44507,833.0
38,2020-07-25,Orange,California,6059.0,33953,562.0
39,2021-07-01,Orange,California,6059.0,273636,5125.0
40,2020-01-27,Orange,California,6059.0,1,0.0
41,2021-07-22,Orange,California,6059.0,278209,5139.0
42,2021-04-10,Orange,California,6059.0,267957,4831.0
43,2021-08-19,Orange,California,6059.0,297785,5169.0
44,2021-02-27,Orange,California,6059.0,261022,3904.0
45,2020-03-11,Orange,California,6059.0,6,0.0
46,2021-03-31,Orange,California,6059.0,266233,4744.0
47,2021-02-13,Orange,California,6059.0,256510,3544.0
48,2021-05-26,Orange,California,6059.0,271766,5057.0
49,2021-02-21,Orange,California,6059.0,259305,3810.0
50,2021-08-04,Orange,California,6059.0,285620,5146.0
51,2020-09-10,Orange,California,6059.0,51599,1069.0
52,2020-06-15,Orange,California,6059.0,8759,221.0
53,2020-04-20,Orange,California,6059.0,1676,33.0
54,2021-05-06,Orange,California,6059.0,270569,4992.0
55,2020-10-11,Orange,California,6059.0,57479,1341.0
56,2021-07-29,Orange,California,6059.0,281790,5143.0
57,2021-11-05,Orange,California,6059.0,328210,5615.0
58,2020-03-28,Orange,California,6059.0,321,3.0
59,2021-08-15,Orange,California,6059.0,292833,5161.0
60,2020-08-24,Orange,California,6059.0,46307,897.0
61,2020-09-28,Orange,California,6059.0,54912,1216.0
62,2021-11-20,Orange,California,6059.0,331850,5661.0
63,2021-03-05,Orange,California,6059.0,262241,4075.0
64,2021-10-23,Orange,California,6059.0,324288,5562.0
65,2020-03-17,Orange,California,6059.0,29,0.0
66,2020-08-25,Orange,California,6059.0,46642,912.0
67,2021-06-27,Orange,California,6059.0,273225,5123.0
68,2020-04-25,Orange,California,6059.0,1969,38.0
69,2021-09-11,Orange,California,6059.0,310195,5302.0
70,2020-06-24,Orange,California,6059.0,11071,299.0
71,2021-04-27,Orange,California,6059.0,269838,4939.0
72,2020-10-21,Orange,California,6059.0,59448,1423.0
73,2020-12-24,Orange,California,6059.0,140699,1782.0
74,2021-09-23,Orange,California,6059.0,315774,5371.0
75,2021-05-16,Orange,California,6059.0,271251,5031.0
76,2020-09-26,Orange,California,6059.0,54527,1214.0
77,2020-07-28,Orange,California,6059.0,34833,581.0
78,2021-01-01,Orange,California,6059.0,166196,1875.0
79,2021-01-04,Orange,California,6059.0,180386,1926.0
80,2020-10-20,Orange,California,6059.0,59168,1412.0
81,2020-05-08,Orange,California,6059.0,3283,71.0
82,2021-01-20,Orange,California,6059.0,229132,2508.0
83,2020-02-15,Orange,California,6059.0,1,0.0
84,2020-02-09,Orange,California,6059.0,1,0.0
85,2020-05-23,Orange,California,6059.0,5157,130.0
86,2021-02-11,Orange,California,6059.0,255254,3493.0
87,2020-02-19,Orange,California,6059.0,1,0.0
88,2020-06-03,Orange,California,6059.0,6790,158.0
89,2021-01-27,Orange,California,6059.0,240314,2839.0
90,2021-02-02,Orange,California,6059.0,247886,3162.0
91,2021-03-15,Orange,California,6059.0,263994,4486.0
92,2021-10-09,Orange,California,6059.0,321147,5475.0
93,2020-12-06,Orange,California,6059.0,89175,1633.0
94,2020-09-14,Orange,California,6059.0,52166,1093.0
95,2021-06-22,Orange,California,6059.0,273105,5113.0
96,2021-08-07,Orange,California,6059.0,287661,5149.0
97,2021-10-27,Orange,California,6059.0,325607,5588.0
98,2020-03-02,Orange,California,6059.0,1,0.0
99,2021-02-04,Orange,California,6059.0,249195,3249.0
100,2021-10-13,Orange,California,6059.0,322299,5508.0
101,2021-05-02,Orange,California,6059.0,270284,4969.0
102,2020-02-20,Orange,California,6059.0,1,0.0
103,2021-09-20,Orange,California,6059.0,314622,5354.0
104,2020-03-01,Orange,California,6059.0,1,0.0
105,2020-11-28,Orange,California,6059.0,79049,1577.0
106,2020-06-11,Orange,California,6059.0,8222,202.0
107,2021-05-09,Orange,California,6059.0,270744,5008.0
108,2021-07-08,Orange,California,6059.0,274132,5132.0
109,2021-03-07,Orange,California,6059.0,262674,4226.0
110,2021-08-22,Orange,California,6059.0,298667,5181.0
111,2021-06-25,Orange,California,6059.0,273225,5117.0
112,2021-11-28,Orange,California,6059.0,332950,5675.0
113,2021-07-02,Orange,California,6059.0,273738,5126.0
114,2020-04-09,Orange,California,6059.0,1079,17.0
115,2020-05-16,Orange,California,6059.0,4281,86.0
116,2021-06-18,Orange,California,6059.0,272922,5109.0
117,2020-03-06,Orange,California,6059.0,3,0.0
118,2020-06-26,Orange,California,6059.0,12221,323.0
119,2021-07-19,Orange,California,6059.0,277126,5138.0
120,2021-06-08,Orange,California,6059.0,272504,5088.0
121,2020-12-30,Orange,California,6059.0,164990,1874.0
122,2020-02-08,Orange,California,6059.0,1,0.0
123,2020-05-25,Orange,California,6059.0,5469,131.0
124,2021-06-26,Orange,California,6059.0,273225,5119.0
125,2020-02-28,Orange,California,6059.0,1,0.0
126,2020-03-12,Orange,California,6059.0,6,0.0
127,2020-09-29,Orange,California,6059.0,55022,1249.0
128,2020-06-07,Orange,California,6059.0,7576,177.0
129,2020-07-15,Orange,California,6059.0,27031,455.0
130,2020-07-10,Orange,California,6059.0,22960,402.0
131,2021-04-11,Orange,California,6059.0,268175,4839.0
132,2020-01-30,Orange,California,6059.0,1,0.0
133,2020-12-15,Orange,California,6059.0,110253,1695.0
134,2021-12-07,Orange,California,6059.0,337045,5783.0
135,2021-01-29,Orange,California,6059.0,243212,2975.0
136,2021-06-17,Orange,California,6059.0,272877,5109.0
137,2021-03-06,Orange,California,6059.0,262550,4173.0
138,2021-05-22,Orange,California,6059.0,271589,5047.0
139,2021-12-08,Orange,California,6059.0,337328,5796.0
140,2020-02-24,Orange,California,6059.0,1,0.0
141,2020-02-25,Orange,California,6059.0,1,0.0
142,2020-12-31,Orange,California,6059.0,166196,1875.0
143,2021-08-02,Orange,California,6059.0,284534,5146.0
144,2021-08-30,Orange,California,6059.0,305019,5223.0
145,2021-01-05,Orange,California,6059.0,181850,1926.0
146,2020-11-09,Orange,California,6059.0,64621,1509.0
147,2021-08-11,Orange,California,6059.0,291283,5155.0
148,2020-10-15,Orange,California,6059.0,58183,1391.0
149,2021-07-13,Orange,California,6059.0,275358,5136.0
150,2020-08-31,Orange,California,6059.0,48538,980.0
151,2020-08-27,Orange,California,6059.0,47459,947.0
152,2021-06-19,Orange,California,6059.0,272922,5108.0
153,2021-04-30,Orange,California,6059.0,270101,4957.0
154,2021-08-01,Orange,California,6059.0,282426,5144.0
155,2020-11-13,Orange,California,6059.0,66183,1522.0
156,2020-09-22,Orange,California,6059.0,53733,1150.0
157,2020-03-10,Orange,California,6059.0,5,0.0
158,2020-02-04,Orange,California,6059.0,1,0.0
159,2020-03-30,Orange,California,6059.0,464,4.0
160,2020-04-30,Orange,California,6059.0,2421,45.0
161,2020-02-23,Orange,California,6059.0,1,0.0
162,2020-08-23,Orange,California,6059.0,45954,897.0
163,2020-04-11,Orange,California,6059.0,1221,18.0
164,2021-04-07,Orange,California,6059.0,267253,4791.0
165,2020-12-08,Orange,California,6059.0,92811,1633.0
166,2020-07-26,Orange,California,6059.0,34373,564.0
167,2021-01-12,Orange,California,6059.0,207318,2148.0
168,2021-05-20,Orange,California,6059.0,271496,5038.0
169,2021-04-12,Orange,California,6059.0,268304,4839.0
170,2020-04-10,Orange,California,6059.0,1138,17.0
171,2020-11-16,Orange,California,6059.0,67819,1526.0
172,2021-07-11,Orange,California,6059.0,274132,5135.0
173,2021-08-20,Orange,California,6059.0,298667,5176.0
174,2021-03-29,Orange,California,6059.0,265926,4726.0
175,2020-03-21,Orange,California,6059.0,78,0.0
176,2021-01-22,Orange,California,6059.0,231574,2547.0
177,2020-08-26,Orange,California,6059.0,47090,918.0
178,2021-05-11,Orange,California,6059.0,270883,5017.0
179,2021-03-12,Orange,California,6059.0,263471,4408.0
180,2021-07-21,Orange,California,6059.0,277845,5139.0
