,Type,Severity,County,Date,Latitude,Longitude,DateCounty
88257,Rain,Light,Santa Cruz,01-09,36.9394,-121.79,01-09-Santa Cruz
88258,Rain,Moderate,Santa Cruz,01-09,36.9394,-121.79,01-09-Santa Cruz
88259,Rain,Light,Santa Cruz,01-09,36.9394,-121.79,01-09-Santa Cruz
88260,Rain,Moderate,Santa Cruz,01-09,36.9394,-121.79,01-09-Santa Cruz
88261,Rain,Light,Santa Cruz,01-11,36.9394,-121.79,01-11-Santa Cruz
88262,Rain,Light,Santa Cruz,01-11,36.9394,-121.79,01-11-Santa Cruz
88263,Rain,Light,Santa Cruz,01-13,36.9394,-121.79,01-13-Santa Cruz
88264,Rain,Light,Santa Cruz,01-13,36.9394,-121.79,01-13-Santa Cruz
88265,Rain,Light,Santa Cruz,01-13,36.9394,-121.79,01-13-Santa Cruz
88268,Rain,Light,Santa Cruz,01-14,36.9394,-121.79,01-14-Santa Cruz
88272,Rain,Light,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88273,Rain,Moderate,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88274,Rain,Heavy,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88275,Rain,Moderate,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88276,Rain,Light,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88277,Rain,Moderate,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88278,Rain,Light,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88279,Rain,Moderate,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88280,Rain,Light,Santa Cruz,01-16,36.9394,-121.79,01-16-Santa Cruz
88281,Rain,Light,Santa Cruz,01-17,36.9394,-121.79,01-17-Santa Cruz
88282,Rain,Light,Santa Cruz,01-17,36.9394,-121.79,01-17-Santa Cruz
88283,Rain,Light,Santa Cruz,01-17,36.9394,-121.79,01-17-Santa Cruz
88284,Rain,Light,Santa Cruz,01-20,36.9394,-121.79,01-20-Santa Cruz
88285,Rain,Light,Santa Cruz,01-21,36.9394,-121.79,01-21-Santa Cruz
88286,Rain,Light,Santa Cruz,01-22,36.9394,-121.79,01-22-Santa Cruz
88287,Rain,Light,Santa Cruz,01-22,36.9394,-121.79,01-22-Santa Cruz
88288,Rain,Light,Santa Cruz,01-22,36.9394,-121.79,01-22-Santa Cruz
88289,Rain,Light,Santa Cruz,01-22,36.9394,-121.79,01-22-Santa Cruz
88290,Rain,Light,Santa Cruz,01-22,36.9394,-121.79,01-22-Santa Cruz
88296,Rain,Light,Santa Cruz,01-26,36.9394,-121.79,01-26-Santa Cruz
88298,Rain,Light,Santa Cruz,01-26,36.9394,-121.79,01-26-Santa Cruz
88299,Rain,Moderate,Santa Cruz,01-26,36.9394,-121.79,01-26-Santa Cruz
88300,Rain,Light,Santa Cruz,01-26,36.9394,-121.79,01-26-Santa Cruz
88321,Rain,Light,Santa Cruz,03-01,36.9394,-121.79,03-01-Santa Cruz
88322,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88323,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88324,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88325,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88326,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88327,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88328,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88329,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88330,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88331,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88332,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88333,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88334,Rain,Light,Santa Cruz,03-07,36.9394,-121.79,03-07-Santa Cruz
88335,Rain,Light,Santa Cruz,03-08,36.9394,-121.79,03-08-Santa Cruz
88336,Rain,Light,Santa Cruz,03-08,36.9394,-121.79,03-08-Santa Cruz
88337,Rain,Light,Santa Cruz,03-08,36.9394,-121.79,03-08-Santa Cruz
88338,Rain,Light,Santa Cruz,03-10,36.9394,-121.79,03-10-Santa Cruz
88344,Rain,Light,Santa Cruz,03-13,36.9394,-121.79,03-13-Santa Cruz
88345,Rain,Light,Santa Cruz,03-14,36.9394,-121.79,03-14-Santa Cruz
88346,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88347,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88348,Rain,Heavy,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88349,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88350,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88351,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88352,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88353,Rain,Heavy,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88354,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88355,Rain,Heavy,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88356,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88357,Rain,Heavy,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88358,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88359,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88360,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88361,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88362,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88363,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88364,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88365,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88366,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88367,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88368,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88369,Rain,Light,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88370,Rain,Moderate,Santa Cruz,03-15,36.9394,-121.79,03-15-Santa Cruz
88371,Rain,Light,Santa Cruz,03-16,36.9394,-121.79,03-16-Santa Cruz
