,county,population
770,Alameda County,1682353
774,Alpine County,1204
778,Amador County,40474
782,Butte County,211632
786,Calaveras County,45292
790,Colusa County,21839
794,Contra Costa County,1165927
798,Del Norte County,27743
802,El Dorado County,191185
806,Fresno County,1008654
810,Glenn County,28917
814,Humboldt County,136463
818,Imperial County,179702
822,Inyo County,19016
826,Kern County,909235
830,Kings County,152486
834,Lake County,68163
838,Lassen County,32730
842,Los Angeles County,10014009
846,Madera County,156255
850,Marin County,262321
854,Mariposa County,17131
858,Mendocino County,91601
862,Merced County,281202
866,Modoc County,8700
870,Mono County,13195
874,Monterey County,439035
878,Napa County,138019
882,Nevada County,102241
886,Orange County,3186989
890,Placer County,404739
894,Plumas County,19790
898,Riverside County,2418185
902,Sacramento County,1585055
906,San Benito County,64209
910,San Bernardino County,2181654
914,San Diego County,3298634
918,San Francisco County,873965
922,San Joaquin County,779233
926,San Luis Obispo County,282424
930,San Mateo County,764442
934,Santa Barbara County,448229
938,Santa Clara County,1936259
942,Santa Cruz County,270861
946,Shasta County,182155
950,Sierra County,3236
954,Siskiyou County,44076
958,Solano County,453491
962,Sonoma County,488863
966,Stanislaus County,552878
970,Sutter County,99633
974,Tehama County,65829
978,Trinity County,16112
982,Tulare County,473117
986,Tuolumne County,55620
990,Ventura County,843843
994,Yolo County,216403
998,Yuba County,81575
